id, dx, dy, Asites, Csites, basis, n_meas_start, n_meas_end, n_meas_step, nsim, type
1-8, 10, 10, (1 1 1 1), (1+i 1+i 1+i 1+i), y, 2, 192, 4, 1000, toric bell
9-13, 10, 10, (1 1 1 1), (1 1 1+i 1+i), y, 2, 192, 4, 1000, toric bell
14-18, 10, 10, (1 1 1 1), (1+i 1+i 1+i 1+i), z, 2, 192, 4, 1000, toric xz_bell
19-23, 10, 10, (1 1 1 1), (1+i 1+i 1+i 1+i), z, 2, 192, 4, 1000, toric y
24-28, 10, 10, (1 1 1 1), (1+i 1+i 1+i 1+i), y, 2, 192, 4, 1000, toric y
29-33, 10, 10, (1 1 1 1), (1+i 1+i 1+i 1+i), y, 100, 196, 2, 1000, toric
34-38, 9, 9, (1 1 1 1), (1+i 1+i 1+i 1+i), y, 2, 158, 4, 1000, toric
39-43, 10, 9, (1 1 1 1), (1+i 1+i 1+i 1+i), y, 4, 176, 4, 1000, toric
44-48, 10, 10, (2 2 1 1), (2+i 2+i 1+i 1+i), y, 2, 196, 4, 1000, toric
49-53, 10, 10, (1 1 1 1), (1 1 1+i 1+i), z, 2, 196, 4, 1000, toric y
